x_0	x_1	x_2	x_3	x_4	x_5	x_6	x_7	x_8	x_9	x_1	x_11	x_12	x_13	x_14	x_15	x_16	x_17	x_18	x_19	x_2	x_21	x_22	x_23	x_24	x_25	x_26	x_27	x_28	x_29	x_3	x_31	x_32	x_33	x_34	x_35	x_36	x_37	x_38	x_39	x_4	x_41	x_42	x_43	x_44	x_45	x_46	x_47	x_48	x_49	x_5	x_51	x_52	x_53	x_54	x_55	x_56	x_57	x_58	x_59	x_6	x_61	x_62	x_63	x_64	x_65	x_66	x_67	x_68	x_69	x_7	x_71	x_72	x_73	x_74	x_75	x_76	x_77	x_78	x_79	x_8	x_81	x_82	x_83	x_84	x_85	x_86	x_87	x_88	x_89	x_9	x_91	x_92	x_93	x_94	x_95	x_96	x_97	x_98	x_99	x_10	x_101	x_102	x_103	x_104	x_105	x_106	x_107	x_108	5,323471	-5,513946	-3,352064	4,978033	6,790243	7,738471	-4,290966	-5,048589	4,262126	6,833344	-5,021667	-7,567788	1,289208	-1,546512	-3,639522	-2,778734	-3,671347	3,213701	-4,359655	-3,18594	-3,645922	0,5490912	-6,429911	5,130683	0,5862734	-0,5894185	-4,991765	-6,017102	0,9568594	6,760005	6,160788	2,142825	-4,924778	-2,764155	-5,762877	-1,115924	-0,6753292	5,152198	5,86186	1,055196	4,897562	4,043071	-4,650567	4,895815	-4,020042	-3,187711	-5,528062	-7,035097	7,868704	0,7140814	1,249933	0,6382077	-3,606099	6,571711	3,169826	-7,621623	-6,047714	-0,7587323	1,644946	-1,154932	2,922955	4,804649	4,935263	-6,399902	-3,10123	5,180116	6,424776	-3,5025	-6,108052	5,975215	-0,1424345	6,139343	5,268694	0,002306815	1,928866	-6,419454	5,755398	-7,432126	-0,4785504	-0,5129797	7,604733	1,929985	-2,255822	-0,7226341	-3,439341	7,86496	1,402283	-4,066476	0,0817633	3,818382	-2,905919	-0,08627801	-6,434927	-7,58563	-7,485463	6,785046	7,042321	-6,841435	-7,741454	5,388028	-0,08627801	-6,434927	-7,58563	-7,485463	6,785046	7,042321	-6,841435	-7,741454	5,388028	
5,390786	-5,467813	-3,312684	5,020761	6,824878	7,660962	-4,314838	-4,984173	4,221529	6,810983	-5,119867	-7,642875	1,234963	-1,582733	-3,580071	-2,706961	-3,611421	3,253151	-4,345933	-3,160026	-3,672031	0,6365221	-6,482808	5,180398	0,6618396	-0,5039953	-4,909054	-6,101489	0,9729016	6,779345	6,229887	2,075412	-4,981632	-2,680253	-5,705195	-1,176848	-0,659107	5,167291	5,927838	0,9800113	4,811967	4,080697	-4,727858	4,986914	-3,978595	-3,136837	-5,471015	-6,972657	7,777464	0,8121517	1,336583	0,5556988	-3,608902	6,512585	3,199994	-7,601882	-5,965397	-0,8379273	1,6719	-1,065893	2,929801	4,832711	5,013213	-6,362328	-3,053373	5,105241	6,471794	-3,524554	-6,0191	5,968207	-0,1960875	6,044078	5,363748	0,07194942	1,932732	-6,340086	5,835196	-7,509753	-0,4076385	-0,5631483	7,560561	1,946262	-2,164636	-0,7605774	-3,485185	7,906691	1,380309	-4,076054	0,02487311	3,888996	-2,82989	-0,07524814	-6,502975	-7,562184	-7,414559	6,854652	6,942892	-6,839282	-7,691396	5,386879	-0,07524814	-6,502975	-7,562184	-7,414559	6,854652	6,942892	-6,839282	-7,691396	5,386879	
5,364338	-5,386349	-3,243873	5,090391	6,785766	7,70054	-4,308038	-4,867562	4,151557	6,785354	-5,221573	-7,763939	1,279392	-1,615223	-3,502578	-2,627394	-3,580168	3,257332	-4,285829	-3,229586	-3,778164	0,671874	-6,487055	5,243677	0,6298323	-0,3922457	-4,93087	-6,095863	1,029408	6,868384	6,32871	2,016702	-5,019341	-2,562807	-5,599573	-1,183258	-0,5901131	5,091585	5,98619	0,8590919	4,680369	4,050394	-4,708355	5,062272	-3,867047	-3,183547	-5,466985	-6,95437	7,663252	0,9292205	1,447569	0,5111675	-3,707569	6,554335	3,165477	-7,621696	-5,869696	-0,9060089	1,678201	-1,073618	2,915538	4,870627	4,980557	-6,356808	-3,103362	5,023178	6,511537	-3,470704	-5,988967	6,037833	-0,1768553	6,037416	5,497276	0,1160729	1,988525	-6,215769	5,861529	-7,512207	-0,365612	-0,687154	7,531685	1,995889	-2,166459	-0,7288323	-3,589204	7,863371	1,276774	-3,981747	-0,03447397	3,932996	-2,778058	-0,07774352	-6,518988	-7,649102	-7,339864	6,802412	6,985646	-6,7802	-7,61109	5,292972	-0,07774352	-6,518988	-7,649102	-7,339864	6,802412	6,985646	-6,7802	-7,61109	5,292972	
5,430626	-5,398929	-3,260126	5,172225	6,757442	7,69269	-4,257979	-4,745557	4,156724	6,839391	-5,210446	-7,917211	1,243392	-1,700536	-3,550473	-2,607205	-3,533039	3,351349	-4,334881	-3,188443	-3,899101	0,7689481	-6,557091	5,257929	0,6245952	-0,3451473	-4,891025	-6,073768	0,9798713	6,990431	6,295553	1,962386	-5,085776	-2,523544	-5,562099	-1,096087	-0,508318	5,027699	5,920624	0,7733923	4,661153	3,966223	-4,615114	5,101229	-3,822566	-3,184537	-5,425627	-6,962381	7,568161	0,9259259	1,551898	0,54871	-3,841711	6,535389	3,202086	-7,592599	-5,795459	-0,9432337	1,739545	-1,011361	2,898297	4,858307	4,954026	-6,376579	-3,093742	4,977787	6,505354	-3,508501	-5,944449	6,133533	-0,220827	5,96488	5,557706	0,2319809	2,043005	-6,086302	5,888803	-7,423224	-0,2879397	-0,8485656	7,478007	2,045213	-2,195919	-0,6432287	-3,559458	7,895255	1,217836	-3,980904	-0,1023332	3,980709	-2,765802	-0,1150517	-6,616398	-7,642431	-7,364655	6,7395	7,102115	-6,749659	-7,566415	5,230631	-0,1150517	-6,616398	-7,642431	-7,364655	6,7395	7,102115	-6,749659	-7,566415	5,230631	
5,423788	-5,348489	-3,211767	5,246141	6,843019	7,762675	-4,234308	-4,640499	4,08184	6,814082	-5,238108	-8,082265	1,297926	-1,726249	-3,516893	-2,645255	-3,462691	3,409134	-4,308881	-3,114661	-3,949034	0,8687509	-6,650106	5,195348	0,5714395	-0,222827	-4,855474	-6,110275	0,9849494	7,001784	6,33155	1,914305	-5,10389	-2,44784	-5,517005	-1,016782	-0,4761587	5,067685	5,91906	0,6924958	4,598772	3,993165	-4,559646	5,109778	-3,796929	-3,13056	-5,424398	-7,006108	7,5808	0,9053407	1,556119	0,6589245	-3,858313	6,462162	3,235085	-7,571619	-5,737953	-0,9391125	1,843894	-0,964897	2,852752	4,921328	4,900208	-6,408711	-3,186253	4,961211	6,578681	-3,566015	-6,021419	6,245937	-0,3063075	5,83717	5,615408	0,2683392	2,056716	-6,030254	5,991987	-7,394177	-0,1687765	-0,9786602	7,386563	1,986636	-2,138379	-0,6650654	-3,478311	7,941275	1,285158	-3,926748	-0,202737	3,981704	-2,808473	-0,08662268	-6,61425	-7,557245	-7,408143	6,69214	7,181506	-6,760126	-7,633432	5,114277	-0,08662268	-6,61425	-7,557245	-7,408143	6,69214	7,181506	-6,760126	-7,633432	5,114277	
5,405282	-5,248398	-3,116694	5,28014	6,806786	7,728615	-4,317716	-4,666633	4,006154	6,862227	-5,183708	-8,161703	1,398665	-1,67874	-3,524015	-2,580854	-3,388919	3,348	-4,202374	-3,098735	-3,886065	0,8693843	-6,717595	5,164573	0,5311674	-0,221308	-4,905146	-6,072459	1,035717	6,984128	6,271083	1,929004	-5,1561	-2,444319	-5,556703	-1,068304	-0,4838834	5,152591	5,973586	0,7113537	4,567835	4,063355	-4,545889	5,141924	-3,806589	-3,065522	-5,457831	-7,087795	7,499534	0,7979904	1,609357	0,746216	-3,901205	6,488819	3,217297	-7,552806	-5,673363	-0,9029874	1,930101	-0,9907298	2,887799	5,049554	4,865244	-6,415178	-3,270635	4,892869	6,698926	-3,574922	-6,152253	6,385588	-0,3840699	5,706244	5,58352	0,3247631	2,081464	-5,948196	5,991137	-7,433425	-0,09734526	-0,9579469	7,250342	2,021188	-2,07675	-0,7562513	-3,449376	7,977407	1,393143	-3,833177	-0,182417	4,07677	-2,785661	-0,056851	-6,567667	-7,499691	-7,459975	6,75877	7,137143	-6,737225	-7,717561	5,0094	-0,056851	-6,567667	-7,499691	-7,459975	6,75877	7,137143	-6,737225	-7,717561	5,0094	
5,330586	-5,117177	-3,055988	5,218565	6,708934	7,752542	-4,281645	-4,612345	4,033054	6,817698	-5,085112	-8,131146	1,442103	-1,655447	-3,594048	-2,615569	-3,284601	3,227855	-4,199352	-3,058309	-3,881229	0,8916897	-6,714128	5,08887	0,5201291	-0,143812	-4,868748	-5,991348	1,000805	7,058911	6,181212	1,88529	-5,200238	-2,356446	-5,505171	-1,022853	-0,5582666	5,285097	5,921624	0,8081782	4,596714	4,04516	-4,468353	5,177357	-3,716713	-2,99246	-5,488504	-7,080299	7,488295	0,6839434	1,583319	0,7429337	-3,88622	6,431611	3,234231	-7,579629	-5,631599	-0,90168	2,024573	-0,9558579	2,942265	5,019808	4,824045	-6,451825	-3,256476	4,817372	6,666444	-3,672256	-6,234468	6,529655	-0,4326353	5,615036	5,488105	0,364777	2,059412	-5,947527	6,072155	-7,526854	-0,1411907	-1,018794	7,281697	2,084447	-1,999092	-0,8146771	-3,344275	8,00643	1,372968	-3,803614	-0,09098137	4,16611	-2,819239	-0,06330865	-6,449446	-7,412083	-7,411747	6,857703	7,054739	-6,781271	-7,832006	4,893576	-0,06330865	-6,449446	-7,412083	-7,411747	6,857703	7,054739	-6,781271	-7,832006	4,893576	
5,303003	-4,963241	-3,052267	5,217218	6,605414	7,681289	-4,353224	-4,576178	3,957138	6,797709	-5,074663	-8,152959	1,369325	-1,594422	-3,65579	-2,730628	-3,256264	3,132025	-4,252264	-2,986171	-3,903261	0,867834	-6,68494	4,960012	0,4800871	-0,04332817	-4,865514	-6,014079	0,9376376	7,073998	6,147038	1,91072	-5,29981	-2,280988	-5,382154	-0,9740887	-0,5536676	5,408609	5,96712	0,792281	4,59175	4,125879	-4,33426	5,174102	-3,602269	-2,925551	-5,506033	-7,126206	7,40549	0,6816067	1,573387	0,6993173	-3,825103	6,450242	3,324359	-7,589373	-5,71042	-0,9628841	2,141047	-0,9192526	3,062733	5,096554	4,799083	-6,509276	-3,221141	4,84273	6,571476	-3,799413	-6,29594	6,521038	-0,4954349	5,609632	5,36082	0,3621616	2,023599	-6,005973	6,18927	-7,517655	-0,1306375	-0,9929845	7,197505	2,1174	-1,870815	-0,748626	-3,302098	8,104312	1,365092	-3,810248	-0,1335617	4,217456	-2,794197	-0,1408091	-6,36719	-7,36145	-7,377913	6,8594	7,03103	-6,779228	-7,965332	4,884856	-0,1408091	-6,36719	-7,36145	-7,377913	6,8594	7,03103	-6,779228	-7,965332	4,884856	
5,338167	-4,857634	-3,096523	5,263917	6,542625	7,695131	-4,373055	-4,542262	3,899767	6,874567	-5,090987	-8,248759	1,284632	-1,656212	-3,61772	-2,86068	-3,160085	3,092294	-4,189428	-2,913365	-3,874715	0,7725796	-6,606562	4,980793	0,5313233	-0,01595473	-4,86863	-6,039431	1,001084	7,160315	6,053791	1,897105	-5,357775	-2,210674	-5,246163	-1,037516	-0,5954269	5,52238	6,06835	0,7138785	4,655253	4,214081	-4,175316	5,262417	-3,51964	-2,808918	-5,536278	-7,074219	7,407828	0,6782266	1,625888	0,7118349	-3,712086	6,488393	3,318433	-7,498469	-5,832244	-1,073793	2,265098	-0,8611276	3,160039	5,064475	4,886462	-6,551318	-3,19835	4,77577	6,563699	-3,802456	-6,355358	6,572787	-0,574395	5,625757	5,211257	0,3779904	2,046208	-5,944097	6,187029	-7,547215	-0,06336474	-1,045172	7,23569	2,105177	-1,845225	-0,6247059	-3,272581	8,058668	1,340831	-3,809527	-0,2458719	4,31454	-2,725657	-0,08320487	-6,330687	-7,315212	-7,358251	6,861667	6,960689	-6,815134	-8,110211	4,945834	-0,08320487	-6,330687	-7,315212	-7,358251	6,861667	6,960689	-6,815134	-8,110211	4,945834	
5,363346	-4,769499	-3,03468	5,210569	6,45704	7,78312	-4,434099	-4,437733	3,85806	6,863273	-5,085522	-8,239711	1,196028	-1,637183	-3,575054	-2,926605	-3,062928	3,022592	-4,141027	-2,782447	-3,886633	0,7954329	-6,519746	4,961417	0,5510023	0,09508738	-4,803197	-5,954837	1,121516	7,196137	5,910477	1,945086	-5,336323	-2,123141	-5,11702	-1,003949	-0,6931232	5,678354	6,08068	0,7126371	4,716575	4,314607	-4,108599	5,333571	-3,399131	-2,650666	-5,550107	-7,143064	7,375494	0,7608215	1,61047	0,6248649	-3,596838	6,428394	3,336293	-7,417768	-5,864196	-1,046279	2,392952	-0,8971071	3,115509	4,961769	4,885718	-6,52493	-3,238398	4,785086	6,567543	-3,824909	-6,413935	6,499178	-0,7120712	5,623306	5,19578	0,2915351	2,045999	-5,953044	6,228578	-7,506334	-0,118783	-0,9789342	7,326198	2,163339	-1,890724	-0,5772742	-3,168117	7,969029	1,244078	-3,885173	-0,2846466	4,302944	-2,696531	-0,004216559	-6,27355	-7,391354	-7,359509	6,959124	6,83667	-6,772339	-8,198589	5,005118	-0,004216559	-6,27355	-7,391354	-7,359509	6,959124	6,83667	-6,772339	-8,198589	5,005118	
5,295095	-4,808752	-2,926725	5,180523	6,317439	7,74348	-4,485344	-4,470047	3,866224	6,759401	-5,038106	-8,174644	1,229313	-1,707285	-3,52218	-2,887011	-3,014219	3,075616	-4,193558	-2,629822	-3,956051	0,7578118	-6,471445	5,000888	0,6283514	0,08522033	-4,744287	-5,89077	1,111403	7,308922	5,748517	2,000794	-5,408542	-2,151044	-4,961159	-0,9894488	-0,8245873	5,777555	6,181612	0,7132586	4,827741	4,450048	-4,003614	5,4086	-3,3687	-2,514172	-5,627935	-7,114989	7,456561	0,7189546	1,680003	0,6067661	-3,567884	6,435377	3,444505	-7,360869	-5,853169	-1,091194	2,391355	-0,8626014	3,110596	4,823324	4,865581	-6,437663	-3,252642	4,827045	6,554965	-3,916047	-6,515227	6,536125	-0,8497362	5,523366	5,099064	0,2268232	2,100851	-6,014936	6,171844	-7,415496	-0,2041344	-0,975482	7,41434	2,230529	-1,913749	-0,454003	-3,1722	7,870293	1,235161	-3,924307	-0,3920193	4,370403	-2,768892	0,1319635	-6,242733	-7,371376	-7,42322	6,919762	6,857859	-6,788408	-8,203968	4,947184	0,1319635	-6,242733	-7,371376	-7,42322	6,919762	6,857859	-6,788408	-8,203968	4,947184	
5,264938	-4,923913	-2,931395	5,262337	6,313635	7,745506	-4,531216	-4,45563	3,958639	6,698783	-5,108841	-8,238395	1,335529	-1,82312	-3,545984	-2,951035	-2,952497	3,029538	-4,269645	-2,63824	-4,003386	0,6585984	-6,533183	5,100926	0,5982195	0,1019399	-4,797133	-5,938425	1,170755	7,438591	5,710732	2,048446	-5,448912	-2,118519	-4,812325	-0,9325479	-0,8915468	5,820892	6,21	0,7711317	4,878349	4,571425	-3,938304	5,388054	-3,312395	-2,346567	-5,7319	-7,181055	7,488191	0,7061675	1,648717	0,5600565	-3,486403	6,466843	3,529554	-7,42953	-5,802215	-1,115814	2,348681	-0,8320788	3,080299	4,695423	4,763123	-6,464862	-3,320681	4,766013	6,472779	-4,049839	-6,48203	6,572103	-1,015614	5,510993	4,961896	0,1410088	2,111888	-6,110529	6,111021	-7,369782	-0,2188129	-0,9359532	7,38584	2,344422	-1,994163	-0,3041896	-3,110285	7,762057	1,224246	-3,918542	-0,5010192	4,431137	-2,878328	0,1278114	-6,202602	-7,289272	-7,376427	6,879004	6,895615	-6,827093	-8,217824	4,907977	0,1278114	-6,202602	-7,289272	-7,376427	6,879004	6,895615	-6,827093	-8,217824	4,907977	
5,166604	-4,901916	-2,976559	5,308768	6,311109	7,807749	-4,472851	-4,391	4,040737	6,744715	-5,143147	-8,343588	1,481217	-1,868253	-3,634739	-2,940256	-2,94626	3,027215	-4,280041	-2,583309	-3,954492	0,6523092	-6,658369	5,08946	0,6643274	0,203368	-4,792927	-5,924832	1,203947	7,559268	5,721534	2,147317	-5,519814	-2,078824	-4,730639	-0,8579296	-0,9078758	5,864382	6,1779	0,7153256	4,993309	4,532219	-3,951743	5,44669	-3,277499	-2,246138	-5,868237	-7,199529	7,555542	0,644119	1,535927	0,5889674	-3,486561	6,427665	3,478188	-7,443691	-5,763327	-1,189533	2,399385	-0,7730986	2,983122	4,59087	4,72851	-6,381576	-3,366154	4,770098	6,392813	-4,074863	-6,461957	6,509283	-1,109421	5,532961	4,881772	0,09512845	2,032261	-6,238647	6,0023	-7,287314	-0,2659199	-0,8613104	7,421144	2,331967	-2,016929	-0,3218541	-3,094021	7,750169	1,272449	-3,855294	-0,4670539	4,55269	-2,905664	0,1535259	-6,272958	-7,274622	-7,410765	6,902769	6,902452	-6,876445	-8,168656	4,92258	0,1535259	-6,272958	-7,274622	-7,410765	6,902769	6,902452	-6,876445	-8,168656	4,92258	
5,157194	-4,793376	-3,044034	5,405313	6,294091	7,870038	-4,387334	-4,306043	4,152189	6,726652	-5,14441	-8,402874	1,590565	-1,94508	-3,742149	-3,010637	-2,986084	3,060143	-4,356224	-2,60075	-3,998778	0,5738581	-6,629432	5,053997	0,7963284	0,1558959	-4,755093	-6,013961	1,166459	7,601822	5,733262	2,199271	-5,492704	-2,049157	-4,596186	-0,9000063	-0,9103262	5,955087	6,184972	0,7295814	4,956232	4,416335	-4,040309	5,414946	-3,300683	-2,201872	-5,974465	-7,23211	7,491564	0,5567116	1,409444	0,614945	-3,410978	6,435124	3,511729	-7,504703	-5,769281	-1,131304	2,486897	-0,7320312	2,992838	4,470986	4,766016	-6,303893	-3,3697	4,753309	6,441437	-4,038512	-6,455329	6,429013	-1,198141	5,615017	4,907933	0,09081297	2,069028	-6,317878	5,900951	-7,336077	-0,370434	-0,8560502	7,363915	2,233697	-2,110457	-0,4188764	-3,17925	7,649119	1,236156	-3,85039	-0,4248242	4,552581	-2,828668	0,1477675	-6,32873	-7,32556	-7,331646	6,925029	6,912364	-6,83176	-8,144306	4,944388	0,1477675	-6,32873	-7,32556	-7,331646	6,925029	6,912364	-6,83176	-8,144306	4,944388	
5,183497	-4,809732	-3,109196	5,473693	6,291399	7,878952	-4,319263	-4,326348	4,245639	6,734597	-5,090353	-8,378844	1,673131	-1,977004	-3,729014	-3,015494	-3,017626	3,165494	-4,30527	-2,556948	-4,028818	0,4980651	-6,646813	5,083276	0,8843744	0,1196332	-4,820155	-6,035417	1,125899	7,600306	5,759933	2,258113	-5,486694	-1,972822	-4,550808	-0,9716101	-0,8658459	6,035857	6,22295	0,7698617	4,853176	4,304521	-4,128754	5,36904	-3,40889	-2,255744	-6,109564	-7,166274	7,55505	0,5598749	1,369938	0,6104544	-3,322794	6,53606	3,532555	-7,593423	-5,736713	-1,168572	2,597097	-0,6516331	3,081737	4,464784	4,863898	-6,198995	-3,290787	4,735151	6,399685	-4,094188	-6,464103	6,488731	-1,177883	5,577915	4,983568	0,146216	2,009705	-6,393585	5,759004	-7,321918	-0,3794363	-0,7732581	7,262281	2,203751	-2,102842	-0,5411931	-3,231237	7,547762	1,263131	-3,901864	-0,3917516	4,453393	-2,882835	0,1330837	-6,300258	-7,407374	-7,236904	7,034877	6,854265	-6,82372	-8,213549	4,8966	0,1330837	-6,300258	-7,407374	-7,236904	7,034877	6,854265	-6,82372	-8,213549	4,8966	
